appid,name,total_reviews,positive_reviews_percent,developer,publisher,metacritic_score,is_free,genre1,genre2,genre3,price,peak
357190,Ultimate Marvel vs. Capcom 3,4770,0.912578616,"CAPCOM CO., LTD.","CAPCOM U.S.A., INC.",50,0,1,-1,-1,12000,1706
357200,500 Years Act 1,67,0.313432836,Poorwill Games,Poorwill Games,50,0,25,23,3,2950,365
357280,Alter World,534,0.666666667,Giorgi Abelashvili,Giorgi Abelashvili,50,0,23,-1,-1,2950,1527
357290,Red Lake,925,0.445405405,Talentplace,KishMish Games,50,0,1,25,23,350,1850
357300,Snakebird,1028,0.932879377,Noumenon Games,Noumenon Games,50,0,23,-1,-1,2595,190
357310,Oriental Empires,2834,0.804869442,Shining Pixel Studios,Iceberg Interactive,74,0,23,28,2,11095,866
357330,Space Beast Terror Fright,1507,0.917717319,nornware AB,nornware AB,50,0,1,23,-1,5595,119
357340,Cobalt,669,0.919282511,Oxeye Game Studio,Mojang,69,0,1,25,23,5595,305
357360,ENDLESS™ Legend - Guardians Expansion Pack,88,0.784090909,AMPLITUDE Studios,SEGA,50,0,3,2,-1,3695,0
357370,Return NULL - Episode 1,97,0.608247423,Michael Lückgen,Digital Tribe,50,1,23,-1,-1,0,-1
356570,Party Hard,9408,0.894238946,Pinokl Games,tinyBuild,64,0,1,23,2,3695,828
356580,Aerannis,131,0.702290076,ektomarch,ektomarch,50,0,1,23,-1,350,11
356670,Spooky's Jump Scare Mansion,13735,0.928358209,Lag Studios,Lag Studios,50,1,1,25,37,0,603
356770,Astronaut Simulator,59,0.627118644,Astrosimer,Astrosimer,50,0,25,23,28,0,7
356790,Galacide,90,0.866666667,Puny Human,Puny Human,76,0,1,23,-1,3695,219
356820,Nemo Dungeon,56,0.875,RedPain,RedPain,50,0,1,23,-1,1850,8
356831,A Hat in Time - Soundtrack,220,0.977272727,Gears for Breakfast,Gears for Breakfast,50,0,25,23,-1,3695,0
356880,Eron,324,0.608024691,David Mulder,SA Industry,50,0,23,-1,-1,185,3947
356890,One More Line,249,0.726907631,SMG Studio,SMG Studio,50,0,1,4,23,1095,436
356910,Battle Fantasia -Revised Edition-,189,0.650793651,Arc System Works,Arc System Works,50,0,1,-1,-1,5595,50
356130,Heroes of Scene,670,0.489552239,Icy Donut,Icy Donut,50,1,37,23,29,0,-1
356160,The Emptiness Deluxe Edition,107,0.327102804,Hooligans Entertainment,Viva Media,50,0,25,4,-1,3695,8
356180,Time Machine VR,114,0.631578947,Minority Media Inc.,Minority Media Inc.,58,0,25,23,28,11095,13
356190,Middle-earth™: Shadow of War™,88588,0.8790694,Monolith Productions,WB Games,50,0,1,25,3,14000,67943
356250,Gathering Sky,322,0.931677019,A Stranger Gravity,A Stranger Gravity,50,0,25,23,-1,1850,22
356260,Stalingrad,381,0.88976378,DTF games,Fulqrum Publishing,50,0,2,-1,-1,1850,26
356270,Cuban Missile Crisis,231,0.761904762,G5 Software,Fulqrum Publishing,50,0,2,-1,-1,1850,25
356280,Desert Law,67,0.52238806,Arise,Fulqrum Publishing,50,0,3,2,-1,1095,5
356290,Cuban Missile Crisis: Ice Crusade,66,0.757575758,G5 Software,Fulqrum Publishing,50,0,2,-1,-1,1850,9
356310,METAL SLUG DEFENSE,1853,0.543982731,SNK CORPORATION,SNK CORPORATION,50,1,1,37,-1,11095,389
356370,Soccer Manager 2015,509,0.689587426,Soccer Manager Ltd,Soccer Manager Ltd,50,0,37,18,-1,0,-1
356380,Orbit HD,81,0.592592593,Brainchild,Brainchild,50,0,25,4,23,725,393
356390,The Slaughter: Act One,131,0.847328244,Alex Francois,Brainchild,50,0,25,23,-1,2595,22
356400,Thumper,3743,0.921186214,Drool,Drool,86,0,1,23,-1,7395,237
356420,Interloper,383,0.845953003,Monogon Games,Monogon Games,77,1,23,2,-1,0,1198
356430,Chris Sawyer's Locomotion,544,0.856617647,Chris Sawyer,Atari,50,0,28,2,-1,2195,58
356450,Creature Romances: Kokonoe Kokoro,452,0.738938053,Nostalgia,Sekai Project,50,0,4,23,-1,1095,361
356460,Drive!Drive!Drive!,57,0.684210526,different cloth,Choice Provisions,50,0,1,23,9,3695,3
356500,STAR WARS™ Galactic Battlegrounds Saga,3664,0.915393013,Ensemble Studios,Disney,50,0,1,2,-1,2195,477
356510,Soccer Rage,661,0.819969743,Stamina-Games,Stamina-Games,50,0,1,23,18,0,6
356520,Port of Call,1174,0.891822828,Underdog Games,Underdog Games,50,1,25,23,-1,0,101
356530,The Confines Of The Crown,233,0.888412017,Hanako Games,Hanako Games,50,0,25,23,-1,6295,44
355660,RIDE: Game Demo,71,0.718309859,Milestone S.r.l.,Milestone S.r.l.,68,1,9,28,18,0,397
355680,Overland,459,0.736383442,Finji,Finji,69,0,2,-1,-1,7395,152
355740,Never Alone: Foxtales,196,0.831632653,Upper One Games,E-Line Media,50,0,1,25,4,1450,1
355760,Drizzlepath,591,0.529610829,Tonguç Bodur,Tonguç Bodur,50,0,25,4,23,725,43
355800,Space Run Galaxy,948,0.646624473,Passtech Games,Focus Entertainment,75,0,23,2,-1,3450,712
355820,FutureGrind,67,0.940298507,Milkbag Games,Milkbag Games,50,0,1,23,9,7395,8
355860,Albino Lullaby: Episode 1,367,0.70027248,Ape Law,Ape Law,50,0,1,25,23,3695,40
355880,The Witcher 3: Wild Hunt - Expansion Pass,4755,0.960672976,CD PROJEKT RED,CD PROJEKT RED,50,0,3,-1,-1,2499,1
355950,Age of Empires II (2013): The African Kingdoms,621,0.813204509,SkyBox Labs,Xbox Game Studios,50,0,2,-1,-1,3695,2
355960,Age of Mythology EX: Tale of the Dragon,1532,0.348563969,SkyBox Labs,Xbox Game Studios,50,0,28,2,-1,3695,1
355970,Home is Where One Starts...,618,0.768608414,David Wehle,David Wehle,50,0,25,23,-1,1095,808
355980,Dungeon Warfare,1724,0.958816705,Valsar,Valsar,50,0,23,2,-1,3695,455
356000,The Hero of Kendrickstone,104,0.759615385,Choice of Games,Choice of Games,50,0,23,3,-1,2195,141
356040,Sheltered,5763,0.812944647,Unicube,Team17 Digital Ltd,62,0,23,3,2,5595,1385
356070,Commander Cool 2,1007,0.878848064,Orlyapps,Orlyapps,50,0,1,23,-1,1095,1602
356100,Fuego!,56,0.910714286,radiostatic,radiostatic,50,0,4,23,2,1850,9
355240,NEO AQUARIUM - The King of Crustaceans -,312,0.801282051,Calappa Games,PLAYISM,50,0,1,23,-1,3295,29
355250,STAR WARS™: TIE Fighter Special Edition,534,0.816479401,Totally Games,LucasArts,50,0,1,-1,-1,3695,130
355270,199X,218,0.816513761,Evan Tognotti,Evan Tognotti,50,0,25,23,-1,0,-1
355280,Brave Furries,92,0.836956522,Crazy Goat Games,Crazy Goat Games,50,1,4,23,-1,1450,807
355350,Reign of Bullets,98,0.785714286,Critical Bit,Critical Bit,50,0,1,23,-1,3695,25
355400,Diesel Guns,298,0.704697987,LLC Intenzibne,LLC Intenzibne,50,0,1,23,9,2950,11
355410,Radium,148,0.804054054,Lukas Jaeckel,Develobster,50,0,1,4,23,1095,637
355420,FLAMBERGE,129,0.782945736,HYDEZEKE,,50,0,25,3,2,3695,8
355430,SNOWFLAKE TATTOO,113,0.380530973,Rail Slave Games,KPL,50,0,1,25,23,1850,685
355510,Crazy Belts,70,0.3,jemchicomac,Immanitas Entertainment GmbH,50,0,4,23,-1,1450,3
